Endereço,Preço,Condominio,Iptu,Lista Comodos,Lista Caracteristicas,Obserevacoes,url_id_anuncio
"Rua Osvaldo da Graça Almeida Júnior, 0 - Jardim Santa Júlia, São José dos Campos - SP",R$ 320.000,condomínio não informado,IPTU R$ 300,"['', '', '', '', '116 m²', '3 quartos', '2 vagas', '1 banheiro']",[],"Essa casa está localizado no Jardim Santa Júlia, possui fácil acesso as principais vias da cidade.

Conheça as características desta linda casa.

- 116m²
- 3 dormitórios
- Sala
- Cozinha
- 1 banheiro
- Área de serviço
- 3 vagas de garagem.

Referência: 40432

Entre em contato e agende já sua visita!!

Felipe Andrade Gusmão
Corretor de Imóveis
Creci: 178866
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-santa-julia-sao-jose-dos-campos-sp-116m2-id-2549207522/
"Rua Galgos, 0 - Jardim Satélite, São José dos Campos - SP",R$ 320.000,condomínio não informado,IPTU R$ 600,"['', '', '', '', '150 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"CASA TÉRREA NO JD.SATÉLITE

*TODA REFORMADA: Piso novo, Hidraulica, Encanamento, Pintura ....tudo novo.

-3 dormitórios
-Sala
-Cozinha
-Banheiro
-Cozinha
-Área de serviço
-2 vagas de garagem
-10 mts de frente

-Próximo ao Poliesportivo João do Pulo
-Acesso fácil para Shopping Vale sul, Dutra

Entre em contato e agende já sua visita!

Referência: 31592

Felipe Andrade Gusmão
Corretor de Imóveis
Creci: 178866
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-satelite-sao-jose-dos-campos-sp-150m2-id-2543743926/
"Vila São Pedro, São José dos Campos - SP",R$ 320.000,condomínio não informado,IPTU não informado,"['', '', '', '', '100 m²', '3 quartos', '1 vaga', '2 banheiros']","['Churrasqueira', 'Cozinha', 'Garagem']","Ótima casa localizado no Bairro Vila São Pedro ;
São 125 m² de terreno e 100 m² de construção ;
3 dormitórios , 2 banheiros ;
Cozinha Ampla ,
Garagem coberta 1 carro ;
Portão automático .
Terraço com churrasqueira ;
Estuda permuta por casa térrea na região ou apartamento com elevador.

Características do imóvel
Área de serviço
Churrasqueira
Cozinha
Piso frio
Sala de estar

Mais informações em www.movaeimoveis.com.br
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-vila-sao-pedro-sao-jose-dos-campos-sp-100m2-id-2530050390/
"Rua Antonio Marcos de Oliveira - Jardim Mariana II, São José dos Campos - SP",R$ 320.000,condomínio não informado,IPTU R$ 320,"['', '', '', '', '144 m²', '3 quartos', '2 vagas', '2 banheiros']","['Área de serviço', 'Cozinha', 'Quintal', 'Varanda']","Sobrado a venda do Jd Mariana II

03 Dormitórios sendo 1 suíte
+ 1 banheiro e 1 lavabo
2 vagas cobertas, portão automático
Sala ampla com 2 ambientes
Cozinha ampla
Quintal nos fundos medindo 36mts
Lavanderia, sacada na frente com vidro brindex, sacada nos fundos com linda vista.

Estudo permuta por imóvel no Jd. Motorama, Vista Verde

Fatima Ribeiro - Ligue / Whats
Creci 129.160 -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-jardim-mariana-ii-sao-jose-dos-campos-sp-144m2-id-2530391593/
"Rua Abaré, 1073 - Jardim Vale do Sol, São José dos Campos - SP",R$ 320.000,condomínio não informado,IPTU não informado,"['', '', '', '', '74 m²', '3 quartos', '1 vaga', '1 banheiro']",[],A casa de vila sobrado está localizado no bairro Jardim Vale do Sol possui 74 metros quadrados com 3 quartos e 1 banheiro,https://www.zapimoveis.com.br/imovel/venda-casa-de-vila-3-quartos-jardim-vale-do-sol-sao-jose-dos-campos-sp-74m2-id-2552504887/
"Vila Maria, São José dos Campos - SP",R$ 321.276,condomínio não informado,IPTU não informado,"['', '', '', '', '192 m²', '4 quartos', '2 vagas', '2 banheiros']",[],11/03 - Ref. Imovel: V10050SA - Casa Sobrado - Casa para venda. excelente local,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-vila-maria-sao-jose-dos-campos-sp-192m2-id-2548602868/
"Rua José Antônio Monteiro Santos - Residencial Bosque dos Ipês, São José dos Campos - SP",R$ 321.280,condomínio não informado,IPTU não informado,"['', '', '', '', '111 m²', '4 quartos', '3 vagas', '3 banheiros', '1º andar']",[],"******** excelente oportunidade em um imóvel que oferece conforto e bem estar , em uma das melhores regiões da zona sul de são josé dos campos ,
3 dormitórios amplos sendo uma suit . toda casa com acabamento de alto bom gosto , vale apena conhecer !***********",https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-residencial-bosque-dos-ipes-sao-jose-dos-campos-sp-111m2-id-2553973704/
"Jardim Cerejeiras, São José dos Campos - SP",R$ 322.000,condomínio não informado,IPTU R$ 430,"['', '', '', '', '140 m²', '3 quartos', '2 vagas', '2 banheiros']",['Área de serviço'],"Lindo Sobrado, pronto para morar!!

Localização Excelente, Cidade São Jose dos Campo - Jardim das Cerejeiras, próximo a escolas, comercio, ponto de ônibus, em frente ao poliesportivo equipamento público verdadeiro clube, com quadra de tênis, basquete, futsal, skeite, campo de futebol, piscina, vista definitiva

3 dormitórios sendo 1 suíte com sacada
Sala ampla
Cozinha com armário e copa
Garagem com 2 vagas coberta
Portão Automático

OBS: Aceito imóvel tipo edícula em Caraguatatuba, com uma área até 200 mts ,bem localizado e sem probabilidade de enchente!!

Os melhores imóveis na Região do Vale do Paraíba SP - Casas, Apartamentos, Terrenos, Chácaras e Comercial.
Mais informações WhatsApp - Vendas: Imobiliária EDKimóveis - Creci: 27880J. -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-servico-jardim-cerejeiras-sao-jose-dos-campos-sp-140m2-id-2547486827/
"Rua São Lucas - Jardim São Judas Tadeu, São José dos Campos - SP",R$ 322.000,condomínio não informado,IPTU não informado,"['', '', '', '', '167 m²', '2 quartos', '2 vagas', '1 banheiro']","['Área de serviço', 'Churrasqueira', 'Cozinha']","Ótimo Sobrado no bairro São Judas Tadeu, rua tranquila
2 dorm
1 banheiro
sala
cozinha
área de serviço
churrasqueira
Edícula nos fundo
2 cômodos
banheiro
Agende já sua visita!!!!
Márcio Matos
whatsapp
CRECI 30.782-J -",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-jardim-sao-judas-tadeu-sao-jose-dos-campos-sp-167m2-id-2547982896/
"Rua Londrina, 771 - Residencial Bosque dos Ipês, São José dos Campos - SP",R$ 323.000,condomínio não informado,IPTU não informado,"['', '', '', '', '150 m²', '3 quartos', '2 vagas', '1 banheiro']",[],"3 quartos , 2 Vagas na Garagem, área de serviço, WC, sala, cozinha.MATRÍCULA Nº 184.863 - 1º CRI DE SÃO JOSÉ DOS CAMPOS/SP. IMÓVEL AFORADO. PAGAMENTO DO FORO/LAUDÊMIO POR CONTA DO COMPRADOR. ÁREA A AVERBAR. REGULARIZAÇÃO POR CONTA DO COMPRADOR.Baixar matrícula do imóvelRUA LONDRINA,N. 771, RESIDENCIAL BOSQUE DOS IPES - CEP: 12236-875, SAO JOSE DOS CAMPOS - SAO PAULO
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-bosque-dos-ipes-sao-jose-dos-campos-sp-150m2-id-2552681288/
"Rua Manoel Meneses Leal - Conjunto Residencial Galo Branco, São José dos Campos - SP",R$ 323.000,condomínio não informado,IPTU não informado,"['', '', '', '', '75 m²', '3 quartos', '2 vagas', '1 banheiro']",[],"Casa com ótima localização no Galo Branco
3 dorm
1 banheiro
corredor coberto
Portão eletronico
Cobertura da casa de madeira Peroba
2 caixas de água
Documetação ok -",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-conjunto-residencial-galo-branco-sao-jose-dos-campos-sp-75m2-id-2543115007/
"Rua Londrina, 771 - Residencial Bosque dos Ipês, São José dos Campos - SP",R$ 323.000,condomínio não informado,IPTU não informado,"['', '', '', '', '150 m²', '3 quartos', '2 vagas', '1 banheiro']",[],"3 quartos , 2 Vagas na Garagem, área de serviço, WC, sala, cozinha.MATRÍCULA Nº 184.863 - 1º CRI DE SÃO JOSÉ DOS CAMPOS/SP. IMÓVEL AFORADO. PAGAMENTO DO FORO/LAUDÊMIO POR CONTA DO COMPRADOR. ÁREA A AVERBAR. REGULARIZAÇÃO POR CONTA DO COMPRADOR.Baixar matrícula do imóvelRUA LONDRINA,N. 771, RESIDENCIAL BOSQUE DOS IPES - CEP: 12236-875, SAO JOSE DOS CAMPOS - SAO PAULO
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-residencial-bosque-dos-ipes-sao-jose-dos-campos-sp-150m2-id-2552692872/
"Jardim Colônial, São José dos Campos - SP",R$ 325.000,condomínio não informado,IPTU R$ 272,"['', '', '', '', '79 m²', '3 quartos', '2 vagas', '2 banheiros']",[],"Casa com 3 dormitórios à venda, 79 m² por R$ 325.000 - Jardim Colonial - São José dos Campos/SP

disponível para Venda localizada no bairro Jardim Colonial.
3 dormitórios sendo 1 suite, 1 wc social, sala de estar, sala de jantar, cozinha, área de serviço, espaço gourmet, quintal com um wc social e 2 vagas de garagens cobertas.
Imóvel possui armários planejados na cozinha com fogão cooktop, portão da garagem automático, ducha externa, sistema de monitoramento e piso laminado nos dormitórios.
Localização ótima fácil acesso as vias principais da zona sul, perto de farmácias, supermercados, padarias entre outros comércios.
AGENDE AGORA UMA VISITA E VENHA MORAR BEM COM A SUA FAMÍLIA!!!
OBS: Estuda permuta por apartamentos de menor valor localizado na zona sul. -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-colonial-sao-jose-dos-campos-sp-79m2-id-2542425109/
"Jardim Santa Inês I, São José dos Campos - SP",R$ 325.000,condomínio não informado,IPTU não informado,"['', '', '', '', '170 m²', '2 quartos', '3 vagas', '2 banheiros']","['Área de serviço', 'Varanda']","EDICULA ( 02 SALAS, SUITE E COZINHA ) REF 73754 - R$ R$ 325.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-varanda-jardim-santa-ines-i-sao-jose-dos-campos-sp-170m2-id-2509957375/
"Cidade Morumbi, São José dos Campos - SP",R$ 325.000,condomínio não informado,IPTU não informado,"['', '', '', '', '75 m²', '3 quartos', '2 vagas', '2 banheiros']",[],"11/03 - Ref. Imovel: V46518PA - Casa Padrao - Casa com Edicula - Cidade Morumbi - 75m - 3 Dormitorios.

Esta casa esta localizada no Bairro Cidade Morumbi, possui facil acesso as principais vias da cidade.

Conheca um pouco mais das caracteristicas desta linda casa com edicula:

Casa Principal:

- 75m Area construida
- 150m Area terreno

- 2 Dormitorios com box de vidro
- Sala ampla
- Cozinha com armarios planejado
- Banheiro
- 2 Vagas de garagem coberta

Edicula com:

- 1 Suite
- Sala
- Cozinha
- Copa

Diferenciais Exclusivos:

- Box de vidro no banheiro
- Garagem coberta
- Parede da sala com painel 3D
- Porta de vidro no corredor para a edicula
- Proximo ao mercado Dia, posto de saude e escolas

Que tal agendar uma visita e conhecer este imovel hoje mesmo?

Tambem temos imoveis no Jardim Sul, Parque Industrial, Jardim Oriente, Jardim Colonial, Floradas de Sao Jose, 31 de Marco, Jardim Republica, Jardim America, Jardim Satelite, Bosque dos Ypes, Bosque dos Eucaliptos, Quinta das Flores, Jardim Morumbi, Vila Sao Bento, Jardim Anhembi, casas e apartamentos proximos ao Shopping Vale Sul, alem de pontos comerciais localizados na Zona Sul.
Seja para vender, alugar ou adquirir um imovel procure o Grupo Kaza, a sua imobiliaria em Sao Jose dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelencia seja em locacao, vendas de imoveis prontos, usados ou mesmo nos principais lancamentos da regiao de Sao Jose dos Campos.

Vem voce tambem para o Grupo Kaza, excelencia em consultoria imobiliaria.

As informacoes contidas neste anuncio foram informadas pelo proprietario (a) do imovel e possuem seus direitos reservados.
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cidade-morumbi-sao-jose-dos-campos-sp-75m2-id-2554425523/
"Bosque dos Eucaliptos, São José dos Campos - SP",R$ 325.000,condomínio não informado,IPTU não informado,"['', '', '', '', '85 m²', '2 quartos', '2 vagas', '2 banheiros']","['Área de serviço', 'Cozinha', 'Quintal']","CASA TÉRREA EM ÓTIMA LOCALIZAÇÃO, NA 3 QUADRA DO BAIRRO BOSQUE DOS EUCALIPTOS, COM 02 DORMITÓRIOS, SALA, COZINHA, 01 W.C SOCIAL, ÁREA DE SERVIÇO COBERTA, GARAGEM COBERTA PARA 02 CARROS + 01 QUARTO AMPLO COM 01 W.C.
ACEITA TROCA COM TERRENO COMERCIAL COM VALOR DE ATÉ R$ 300.000,00 ( PAGA A DIFERENÇA COM RECURSO PRÓPRIO) - -
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-bosque-dos-eucaliptos-sao-jose-dos-campos-sp-85m2-id-2499797638/
"Jardim Santa Júlia, São José dos Campos - SP",R$ 325.000,condomínio não informado,IPTU R$ 260,"['', '', '', '', '110 m²', '2 quartos', '3 vagas', '2 banheiros']",[],"Sobrado no Jardim Santa Júlia
2 quartos
Sala
Cozinha com armários
2 banheiros
Varanda
Churrasqueira
Lavanderia
Garagem para 3 carros
Portão automático",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-santa-julia-sao-jose-dos-campos-sp-110m2-id-2538816740/
"Campos de Sao Jose, São José dos Campos - SP",R$ 325.000,condomínio não informado,IPTU não informado,"['', '', '', '', '95 m²', '2 quartos', '2 vagas', '3 banheiros']","['Área de serviço', 'Churrasqueira', 'Varanda']","REF 62442 - R$ R$ 325.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Excelente imóvel em Zona Leste SJC, 02 dormitórios sendo uma suíte; Sala e cozinha americana; Garagem coberta para 02 carros; Lavanderia coberta; Área gourmet com fogão a lenha, forno e churrasqueira e banheiro externo. Terreno 150 m² Próximo a ECO, Fácil acesso a Via Cambuí. Aceita financiamento. Atualizado em
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-campos-de-sao-jose-sao-jose-dos-campos-sp-95m2-id-2540257108/
"Rua Rosa de Toledo, 100 - Sao Jose dos Campos, São José dos Campos - SP",R$ 325.000,condomínio não informado,IPTU R$ 235,"['', '', '', '', '56 m²', '2 quartos', '1 vaga', '2 banheiros']","['Ar-condicionado', 'Churrasqueira', 'Cinema', 'Espaço verde / Parque', 'Playground']","Casa sobrado, em excelente estado de conservacao, com 2 dormitorios com moveis planejados, banheiro com box, paredes com revestimento mas paredes, cozinha com armarios, bancada em marmores.
Sala com teto rebaixado, lavabo todo revestido.
Qunital todo revestido com piso frio, varanda e churrasqueira.
Vaga de garagem coberta.
Condominio com otima organizacao, lazer playground, campo futebol, quadra de volei, ampla praca com pista de caminhada.
Portaria 24 horas.
Anúncio do corretor de imóveis Arlete Aparecida dos Santos CRECI: 97104
Mostrar mais",https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-sao-jose-dos-campos-sao-jose-dos-campos-sp-56m2-id-2538151985/
