Endereço,Preço,Condominio,Iptu,Lista Comodos,Lista Caracteristicas,Obserevacoes,url_id_anuncio
"['Rua Coronel Manoel Martins Júnior, 0 - Jardim Esplanada II, São José dos Campos - SP']",['R$ 42.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '120 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"['A casa está localizado no bairro Jardim Esplanada II tem 120 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro\n\n42 mil de entrada, mais parcelas.']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-esplanada-ii-sao-jose-dos-campos-sp-120m2-id-2549208715/']
"['Rio Comprido, São José dos Campos - SP']",['R$ 43.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '70 m²', '2 quartos', '2 vagas', '1 banheiro']",[],"['Casa em construção termino da obra SET-2018!! Projeto único diferenciado dependendo da renda familiar "" com direito a subsidio do governo"" . Taxa de juros diferenciado . valor do imóvel r$215.000,00 Caixa financia ate 80% do valor do imóvel .']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-rio-comprido-sao-jose-dos-campos-sp-70m2-id-95076976/']
"['Rua Bariloche, 0 - Jardim América, São José dos Campos - SP']",['R$ 43.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '138 m²', '3 quartos', '2 vagas', '2 banheiros']","['Aceita animais', 'Ar-condicionado', 'Churrasqueira']","['A casa está localizado no bairro Jardim América possui 138 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros\nVai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração.\n\n43 mil de entrada, mais parcelas.\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-america-sao-jose-dos-campos-sp-138m2-id-2549752198/']
"['Jardim Santa Júlia, São José dos Campos - SP']",['R$ 44.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '62 m²', '2 quartos', '1 vaga', '1 banheiro']","['Perto de vias de acesso', 'Próximo a escola', 'Próximo a hospitais', 'Próximo a shopping', 'Próximo a transporte público']","['2 dormitórios wc social sala cozinha areá de serviço 2 vagas de garagem .\n\nImóvel novo nunca habitado dependendo da renda com subsidio do governo .\n\nValor do imóvel 218.000,00 sendo uma entrada de 44.000.00 mais o saldo devedor com banco 174.00,00 .']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-jardim-santa-julia-sao-jose-dos-campos-sp-62m2-id-95081776/']
"['Jardim Sao Jose II, São José dos Campos - SP']",['R$ 45.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '75 m²', '1 quarto', '1 banheiro']",[],"['venda com urgencia ,casa se garagem e sem quintal ,pego carro ate 14 mil ,o restante em dinheiro ou parcelado no cartao -']",['https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-jardim-sao-jose-ii-sao-jose-dos-campos-sp-75m2-id-2547489847/']
"['Rua Haiti, 0 - Jardim América, São José dos Campos - SP']",['R$ 45.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '132 m²', '3 quartos', '3 vagas', '3 banheiros']","['Aceita animais', 'Churrasqueira']","['A casa no bairro Jardim América tem 132 metros quadrados com 3 quartos sendo 1 suite e 3 banheirosEspaço reservado para preparar o seu churrasco.\n\n45 mil de entrada, mais parcelas.']",['https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-america-sao-jose-dos-campos-sp-132m2-id-2549308933/']
"['Rua Justino Cobra, 230 - Vila Ema, São José dos Campos - SP']",['R$ 49.250'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '115 m²', '3 quartos', '2 vagas', '2 banheiros', '2º andar']",[],"['Casa a venda em Sao jose dos Campos-SP com 3 quartos, sendo 1 suíte, sala de jantar e estar com jardim de inverno, lavabo, cozinha planejada, quintal com churrasqueira e banheiro, garagem para 2 veículos, Próxima de comércios, escolas\n\nEntrada R$49.250,00 e assumir parcelas mediante aprovação de crédito junto ao banco.\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-ema-sao-jose-dos-campos-sp-115m2-id-2473008378/']
"['Rua Carinhanha, 20 - Vila São Bento, São José dos Campos - SP']",['R$ 50.000'],['condomínio R$ 300'],['IPTU R$ 900'],"['', '', '', '', '81 m²', '3 quartos', '2 vagas', '2 banheiros']","['Aceita animais', 'Bicicletário', 'Churrasqueira', 'Condomínio fechado', 'Cozinha americana', 'Estacionamento', 'Mobiliado', 'Piscina', 'Salão de festas', 'Salão de jogos']","['Vendo casa em condominio dos Ipes/ São José dos Campos\nO sobrado no bairro Vila São Bento possui 81 metros quadrados com 3 quartos sendo 2 suites e 2 banheiros\nPossui salão de festas.\nVai lhe possibilitar curtir os dias mais quentes na piscina.\nEncontra-se em um condomínio protegido por muros.\nChurrasqueira para você aproveitar nos momentos de descontração.\nJá está com os móveis.\nEntrada de R$ 50.000,00 e transfiro parcelas de R$ 1.500,00 mês\nTratar com Aline\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-vila-sao-bento-sao-jose-dos-campos-sp-81m2-id-2548421567/']
"['Rua Eddie Maia Ramos - Bosque dos Eucaliptos, São José dos Campos - SP']",['R$ 70.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '220 m²', '4 quartos', '2 vagas', '3 banheiros']","['Aceita animais', 'Ar-condicionado']","['A casa está localizado em um dos bairros mais tranquilos de São José dos Campos, próximo a comércios, escolas e ao lado da avenida Mário covas.\n\nA casa contém 4 quartos sendo 2 suítes\nCozinha\nLavabo\nVaranda\n3 banheiros\nVagas para 2 carros com portão automático.\n\nEstou pedindo 70 mil a vista e transfiro o restante da dívida.\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-ar-condicionado-bosque-dos-eucaliptos-sao-jose-dos-campos-sp-220m2-id-2552775387/']
"['Jardim América, São José dos Campos - SP']",['R$ 74.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '120 m²', '3 quartos', '2 vagas', '2 banheiros']",[],"['Ótima Oportunidade!\ncasa térrea com boa localização,fácil acesso ,3 dormitorios,2 banheiros,150 m2 de área construída\nentrada de R$74.000,00+saldo devedor de R$276.000,00 financiado pela Caixa Econômica Federal']",['https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-america-sao-jose-dos-campos-sp-120m2-id-95082128/']
